simulation_id,player_id,player_skill,total_wins,total_points_raw,final_score_bonus_0,final_score_bonus_1,final_score_bonus_2,final_score_bonus_3,final_score_bonus_4,rank_bonus_0,rank_bonus_1,rank_bonus_2,rank_bonus_3,rank_bonus_4,rank_skill
0,0,62,16,317,317,333,349,365,381,18.0,18.0,18.0,19.0,19.0,19.0
0,1,84,24,337,337,361,385,409,433,9.0,7.0,6.0,4.0,4.0,9.0
0,2,78,18,331,331,349,367,385,403,11.0,10.0,10.0,10.0,10.0,10.0
0,3,94,15,334,334,349,364,379,394,10.0,11.0,12.0,13.0,14.0,3.0
0,4,67,16,316,316,332,348,364,380,19.0,19.0,19.0,20.0,20.0,16.0
0,5,78,21,338,338,359,380,401,422,8.0,9.0,8.0,8.0,7.0,11.0
0,6,61,13,306,306,319,332,345,358,24.0,24.0,24.0,24.0,23.0,20.0
0,7,74,17,331,331,348,365,382,399,12.0,12.0,11.0,11.0,11.0,15.0
0,8,63,18,327,327,345,363,381,399,14.0,13.0,13.0,12.0,12.0,17.0
0,9,63,18,312,312,330,348,366,384,21.0,20.0,20.0,18.0,17.0,18.0
0,10,75,23,350,350,373,396,419,442,3.0,2.0,2.0,2.0,2.0,13.0
0,11,88,21,351,351,372,393,414,435,1.0,3.0,3.0,3.0,3.0,6.0
0,12,96,19,341,341,360,379,398,417,7.0,8.0,9.0,9.0,9.0,2.0
0,13,58,15,307,307,322,337,352,367,23.0,22.0,22.0,22.0,22.0,21.0
0,14,56,16,313,313,329,345,361,377,20.0,21.0,21.0,21.0,21.0,23.0
0,15,99,23,351,351,374,397,420,443,2.0,1.0,1.0,1.0,1.0,1.0
0,16,86,17,326,326,343,360,377,394,15.0,15.0,15.0,15.0,15.0,8.0
0,17,88,21,344,344,365,386,407,428,6.0,5.0,5.0,6.0,6.0,7.0
0,18,58,15,324,324,339,354,369,384,17.0,17.0,17.0,17.0,18.0,22.0
0,19,92,17,326,326,343,360,377,394,16.0,16.0,16.0,16.0,16.0,4.0
0,20,91,21,345,345,366,387,408,429,4.0,4.0,4.0,5.0,5.0,5.0
0,21,75,17,328,328,345,362,379,396,13.0,14.0,14.0,14.0,13.0,14.0
0,22,55,12,310,310,322,334,346,358,22.0,23.0,23.0,23.0,24.0,24.0
0,23,78,19,345,345,364,383,402,421,5.0,6.0,7.0,7.0,8.0,12.0
1,0,94,20,337,337,357,377,397,417,9.0,8.0,9.0,9.0,9.0,2.0
1,1,74,16,341,341,357,373,389,405,7.0,9.0,11.0,12.0,12.0,13.0
1,2,75,15,328,328,343,358,373,388,14.0,15.0,16.0,16.0,16.0,11.0
1,3,54,20,323,323,343,363,383,403,16.0,16.0,14.0,13.0,13.0,22.0
1,4,84,21,336,336,357,378,399,420,10.0,10.0,7.0,7.0,8.0,6.0
1,5,58,15,293,293,308,323,338,353,24.0,24.0,24.0,24.0,23.0,20.0
1,6,90,22,333,333,355,377,399,421,12.0,11.0,10.0,8.0,7.0,4.0
1,7,60,13,301,301,314,327,340,353,23.0,23.0,23.0,23.0,24.0,17.0
1,8,79,22,360,360,382,404,426,448,1.0,1.0,2.0,2.0,3.0,8.0
1,9,83,16,346,346,362,378,394,410,6.0,6.0,8.0,10.0,10.0,7.0
1,10,52,14,309,309,323,337,351,365,20.0,20.0,20.0,20.0,20.0,23.0
1,11,76,17,328,328,345,362,379,396,15.0,14.0,15.0,15.0,15.0,10.0
1,12,77,19,334,334,353,372,391,410,11.0,12.0,12.0,11.0,11.0,9.0
1,13,59,16,321,321,337,353,369,385,17.0,17.0,17.0,17.0,17.0,18.0
1,14,94,22,358,358,380,402,424,446,2.0,3.0,4.0,4.0,4.0,3.0
1,15,59,14,303,303,317,331,345,359,22.0,22.0,22.0,22.0,22.0,19.0
1,16,99,23,357,357,380,403,426,449,3.0,4.0,3.0,3.0,2.0,1.0
1,17,64,16,320,320,336,352,368,384,18.0,18.0,18.0,18.0,18.0,16.0
1,18,90,24,357,357,381,405,429,453,4.0,2.0,1.0,1.0,1.0,5.0
1,19,75,21,347,347,368,389,410,431,5.0,5.0,5.0,5.0,5.0,12.0
1,20,74,15,320,320,335,350,365,380,19.0,19.0,19.0,19.0,19.0,14.0
1,21,51,17,330,330,347,364,381,398,13.0,13.0,13.0,14.0,14.0,24.0
1,22,66,21,340,340,361,382,403,424,8.0,7.0,6.0,6.0,6.0,15.0
1,23,55,13,308,308,321,334,347,360,21.0,21.0,21.0,21.0,21.0,21.0
2,0,55,20,348,348,368,388,408,428,3.0,4.0,4.0,5.0,5.0,23.0
2,1,96,21,346,346,367,388,409,430,5.0,5.0,5.0,4.0,4.0,2.0
2,2,74,21,348,348,369,390,411,432,4.0,3.0,3.0,3.0,3.0,10.0
2,3,68,15,324,324,339,354,369,384,13.0,13.0,15.0,15.0,16.0,14.0
2,4,75,17,315,315,332,349,366,383,18.0,17.0,17.0,17.0,18.0,9.0
2,5,70,18,330,330,348,366,384,402,9.0,10.0,10.0,10.0,10.0,12.0
2,6,83,21,328,328,349,370,391,412,10.0,9.0,9.0,8.0,8.0,8.0
2,7,92,17,321,321,338,355,372,389,14.0,14.0,13.0,13.0,13.0,5.0
2,8,100,23,354,354,377,400,423,446,2.0,2.0,2.0,2.0,2.0,1.0
2,9,94,24,332,332,356,380,404,428,7.0,6.0,6.0,6.0,6.0,4.0
2,10,56,17,321,321,338,355,372,389,15.0,15.0,14.0,14.0,14.0,22.0
2,11,66,13,307,307,320,333,346,359,23.0,23.0,22.0,22.0,22.0,15.0
2,12,95,23,357,357,380,403,426,449,1.0,1.0,1.0,1.0,1.0,3.0
2,13,74,17,317,317,334,351,368,385,16.0,16.0,16.0,16.0,15.0,11.0
2,14,88,20,334,334,354,374,394,414,6.0,7.0,7.0,7.0,7.0,6.0
2,15,59,13,302,302,315,328,341,354,24.0,24.0,24.0,24.0,23.0,20.0
2,16,55,15,312,312,327,342,357,372,20.0,21.0,21.0,21.0,21.0,24.0
2,17,69,18,326,326,344,362,380,398,12.0,12.0,12.0,12.0,12.0,13.0
2,18,63,18,312,312,330,348,366,384,21.0,20.0,19.0,18.0,17.0,18.0
2,19,86,20,331,331,351,371,391,411,8.0,8.0,8.0,9.0,9.0,7.0
2,20,58,11,310,310,321,332,343,354,22.0,22.0,23.0,23.0,24.0,21.0
2,21,64,17,315,315,332,349,366,383,19.0,18.0,18.0,19.0,19.0,17.0
2,22,65,15,316,316,331,346,361,376,17.0,19.0,20.0,20.0,20.0,16.0
2,23,60,18,328,328,346,364,382,400,11.0,11.0,11.0,11.0,11.0,19.0
3,0,82,14,317,317,331,345,359,373,18.0,19.0,21.0,21.0,21.0,13.0
3,1,81,21,337,337,358,379,400,421,5.0,5.0,5.0,5.0,5.0,14.0
3,2,50,14,291,291,305,319,333,347,23.0,23.0,23.0,22.0,22.0,24.0
3,3,68,13,286,286,299,312,325,338,24.0,24.0,24.0,24.0,23.0,18.0
3,4,90,15,316,316,331,346,361,376,20.0,20.0,20.0,20.0,20.0,9.0
3,5,51,8,306,306,314,322,330,338,22.0,22.0,22.0,23.0,24.0,23.0
3,6,93,17,324,324,341,358,375,392,15.0,16.0,16.0,17.0,18.0,5.0
3,7,83,19,327,327,346,365,384,403,14.0,14.0,13.0,13.0,12.0,12.0
3,8,76,18,324,324,342,360,378,396,16.0,15.0,15.0,15.0,16.0,17.0
3,9,62,19,329,329,348,367,386,405,10.0,10.0,11.0,10.0,10.0,19.0
3,10,59,19,318,318,337,356,375,394,17.0,17.0,18.0,18.0,17.0,20.0
3,11,92,21,354,354,375,396,417,438,1.0,1.0,1.0,1.0,1.0,6.0
3,12,91,19,337,337,356,375,394,413,6.0,7.0,7.0,7.0,7.0,7.0
3,13,84,20,328,328,348,368,388,408,13.0,11.0,10.0,9.0,9.0,10.0
3,14,98,22,348,348,370,392,414,436,2.0,2.0,2.0,2.0,2.0,1.0
3,15,94,20,345,345,365,385,405,425,4.0,4.0,4.0,4.0,4.0,4.0
3,16,84,20,337,337,357,377,397,417,7.0,6.0,6.0,6.0,6.0,11.0
3,17,58,18,313,313,331,349,367,385,21.0,21.0,19.0,19.0,19.0,21.0
3,18,91,16,337,337,353,369,385,401,8.0,8.0,9.0,12.0,13.0,8.0
3,19,79,22,346,346,368,390,412,434,3.0,3.0,3.0,3.0,3.0,16.0
3,20,81,19,329,329,348,367,386,405,11.0,12.0,12.0,11.0,11.0,15.0
3,21,95,18,329,329,347,365,383,401,12.0,13.0,14.0,14.0,14.0,2.0
3,22,95,20,333,333,353,373,393,413,9.0,9.0,8.0,8.0,8.0,3.0
3,23,55,20,317,317,337,357,377,397,19.0,18.0,17.0,16.0,15.0,22.0
4,0,71,18,317,317,335,353,371,389,20.0,18.0,18.0,17.0,17.0,17.0
4,1,70,16,320,320,336,352,368,384,18.0,17.0,19.0,19.0,18.0,18.0
4,2,57,12,301,301,313,325,337,349,24.0,24.0,24.0,24.0,24.0,24.0
4,3,79,18,328,328,346,364,382,400,12.0,10.0,10.0,10.0,10.0,14.0
