turn,agent_id,age,energy,wealth,knowledge,stress,resilience,num_connections,avg_social_capital,posterity_points,last_action,crisis_state
1,11,1,85,10,5,0,4,3,4.0,0,rest,None
1,2,1,74,13,8,2,2,4,4.14,0,strengthen_ties,None
1,14,1,29,15.0,4,5.095802838736899,2,6,2.67,0,work_alone,None
1,6,1,67,12.0,2,1.3145690385375566,4,4,4.5,0,work_alone,None
1,12,1,58,47,10,2,4,3,4.0,2.4,attempt_collaboration,None
1,9,1,63,14,2,4,3,2,3.5,0,attempt_collaboration,None
1,1,1,52,30,7,1,2,1,4.0,0.9,attempt_collaboration,None
1,3,1,56,12,6,4,2,2,3.0,0,attempt_collaboration,None
1,19,1,65,8,6,3,2,4,4.25,0,seek_help,None
1,16,1,62,16.0,4,1.0764579809732162,4,2,4.5,0,work_alone,None
1,7,1,63,14.0,7,2.43718220194539,3,3,4.33,0,work_alone,None
1,5,1,84,33,13,0,3,3,4.0,1.8,rest,None
1,8,1,63,8,3,5,4,5,3.0,0,seek_help,None
1,15,1,41,70,16,2,2,6,4.33,3.3,attempt_collaboration,None
1,0,1,59,16.0,8,1.1464514548150304,4,2,3.0,0,work_alone,None
1,13,1,67,32,14,1,3,4,4.0,1.8,attempt_collaboration,None
1,10,1,60,12,4,2,3,4,3.53,0,attempt_collaboration,None
1,4,1,64,17.0,5,2.3811214371910063,3,5,3.6,0,work_alone,None
1,17,1,67,8,8,2,2,5,3.8,0,attempt_collaboration,None
1,18,1,49,16.0,2,3.333052459267387,3,8,4.0,0,work_alone,None
2,3,2,40,12,6,4.5,2,2,2.75,0,attempt_collaboration,None
2,7,2,75,14.0,8,-0.06281779805460985,3,3,4.67,0,rest,None
2,9,2,48,26,8,4,3,2,4.5,1.8,attempt_collaboration,None
2,1,2,37,55,11,1,2,1,6.0,2.1,attempt_collaboration,None
2,19,2,54,12.0,6,3.0598867586637852,2,4,4.25,0,work_alone,None
2,4,2,33,41.0,13,2.3811214371910063,3,5,4.4,2.4,attempt_collaboration,None
2,2,2,73,13,8,1,2,4,3.89,0,rest,None
